gene	D1_D_progenitor	D2_D_progenitor	K1_K_progenitor	K2_K_progenitor	W1_W_progenitor	W2_W_progenitor	D1_D_effector-like	D2_D_effector-like	K1_K_effector-like	K2_K_effector-like	W1_W_effector-like	W2_W_effector-like	D1_D_transitory	D2_D_transitory	K1_K_transitory	K2_K_transitory	W1_W_transitory	W2_W_transitory	D1_D_terminal	D2_D_terminal	K1_K_terminal	K2_K_terminal	W1_W_terminal	W2_W_terminal
Fto	45.42582523561314	47.36692394931217	42.192715185892666	54.02921218465008	46.23732368632799	57.31894515496946	0	0	0	0	0	0	25.194475999436644	22.25443533909999	25.92937557213087	43.74098919342001	26.55829043955771	21.56126953677719	24.22708461329928	29.579050025087188	35.233883538867794	25.131687510487797	39.23981203249305	40.905577149324344
Amfr	85.05260895178631	113.26873118313779	93.85726439310818	99.26297122296177	82.07124954323218	83.23024912913374	97.47491015929774	83.99553395885394	91.48121508114481	69.49347247177577	88.82020790598034	95.65407175025825	99.87810128348099	86.79229782248996	92.74738185416041	97.84168635370266	91.05699579276929	91.63539553130306	64.02872362086238	71.67231352232665	102.39847403483452	88.50724731954398	69.56148496669222	77.16279325895275
Nudt21	252.25830609563894	202.85400039161948	204.07496936850129	204.80840897902237	187.26116092962835	196.2977573800324	100.10936719063011	96.22789327325015	104.70741485191274	88.35598642840063	90.86205176588794	92.38384707503575	179.96054285311888	194.7263092171249	159.56538813618997	156.54669816592425	166.93782562007704	148.23372806534317	107.29137471603967	118.31620010034875	121.11647466485805	108.17552450166487	96.31590226157384	102.26394287331087
Nup93	37.693769876359845	25.742893450713133	29.27657788408879	12.564933066197693	33.522059672587794	33.76321426936558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpud1	81.18658127215966	74.13953313805382	79.21897545106378	76.64609170380592	85.53904881970678	80.08948501105323	56.64082617364598	71.76317464445773	62.82444891114764	60.55859743969032	60.23439386727402	66.22204967325571	80.9822442839035	62.31241894947997	73.79899201298785	96.69060769071793	64.49870535321158	75.46444337872016	65.75922966466948	62.57106736076136	74.87200252009406	85.22920112252383	64.2106015077159	78.09246546689194
Nlrc5	166.23919022394597	188.43798005922014	174.7983914844125	188.4739959929654	154.89503434919877	175.09759958298892	92.205996096633	104.38279948284762	112.42269805152736	119.13166709447275	122.51063159445565	130.80898700890017	95.37908771215301	117.94850729722995	137.62514726746383	148.4891475250311	158.4012322645049	149.13211429604223	106.42612169413611	103.52667508780516	118.9143569436788	136.5852582091728	125.74576128594363	139.45083119087846
Fam192a	80.220074352253	79.28811182819645	86.96865783214612	77.9025850104257	61.26445388438459	73.02276574537206	51.37191211098124	45.66747477374584	62.82444891114764	50.630958515150915	41.857799128105675	52.32359480356007	66.58540085565399	65.65058425034498	79.78269406809498	64.46040512714528	58.8076431161635	81.75314699361351	53.645687358019835	53.46982119919607	46.24447214476398	34.96582610154824	39.23981203249305	66.93639897162166
Rspry1	42.526304475893156	51.485786901426266	55.108852487696545	40.207785811832615	53.172922239277185	36.903978387446095	27.661798828989898	44.85198415278609	25.35021622730519	25.81186120380243	27.56489210875252	26.161797401780035	44.09033299901413	27.818044173874988	33.90764497894037	29.92804523760317	31.300842303764444	48.512856457748676	30.283855766624097	26.166082714500206	23.12223607238199	34.96582610154824	26.754417294881623	25.10114961435812
Arl2bp	174.93775250310594	152.39792922822176	142.93858613996292	134.44478380831532	145.64756961193316	145.260340461224	164.65356445827322	144.34183990987523	153.2034806780618	141.96523662091334	144.97091405343917	129.17387467128893	192.55778085283723	175.81003917888992	162.55723916374353	138.12943955816846	152.71017002745683	154.52243168023654	73.54650686180138	84.18652699447892	70.46776707773559	73.20969840011662	83.83050752396242	59.49902130810814
Ciapin1	67.65548439346638	80.31782756622498	80.94112709130431	104.28894444944085	70.51191862165018	76.9487208929727	38.199626954319385	50.560418499504316	63.926632225378306	47.6526668377891	51.04609649768985	45.78314545311506	93.57948228362183	109.04673316158996	109.7012043436306	101.29492234265688	71.138277963101	92.5337817620021	87.390555212258107	84.18652699447892	105.70165061660337	107.08284243599148	82.93869361413303	67.86607117956085
